id,patient_text,relative_text,severity
147,I feel stressed and overwhelmed,Actively interacts with family,2
148,I feel fine and stable,Behavior appears normal,1
149,I feel disconnected from people,Behavior appears normal,2
150,I feel sad without any clear reason,Appears emotionally distant,7
151,I feel emotionally numb,Often prefers to stay alone,7
152,I feel worried about everything,Mood fluctuates frequently,9
153,I feel emotionally numb,He avoids family and sleeps a lot,9
154,I feel stressed and overwhelmed,No major change noticed,10
155,I feel stressed and overwhelmed,He avoids family and sleeps a lot,7
156,I feel emotionally numb,Often prefers to stay alone,9
157,I feel stressed and overwhelmed,Mood fluctuates frequently,7
158,I feel calm and normal,Mood fluctuates frequently,4
159,I feel worried about everything,Actively interacts with family,8
160,I feel motivated and energetic,Seems happy and social,4
161,I feel stressed and overwhelmed,No major change noticed,4
162,I feel anxious most of the day,He avoids family and sleeps a lot,6
163,I feel sad without any clear reason,Often prefers to stay alone,3
164,I feel tired and hopeless,Actively interacts with family,2
165,I feel disconnected from people,Often prefers to stay alone,1
166,I feel fine and stable,Often prefers to stay alone,3
167,I feel disconnected from people,She seems withdrawn and quiet,9
168,I feel motivated and energetic,Behavior appears normal,5
169,I feel emotionally numb,Behavior appears normal,4
170,I feel sad without any clear reason,No major change noticed,9
171,I feel motivated and energetic,Appears emotionally distant,8
172,I feel emotionally numb,She seems withdrawn and quiet,7
173,I feel calm and normal,Appears emotionally distant,5
174,I feel motivated and energetic,Seems happy and social,3
175,I feel worried about everything,Actively interacts with family,9
176,I feel motivated and energetic,Often prefers to stay alone,6
177,I feel fine and stable,He avoids family and sleeps a lot,6
178,I feel anxious most of the day,He avoids family and sleeps a lot,9
179,I feel anxious most of the day,Appears emotionally distant,4
180,I feel stressed and overwhelmed,Actively interacts with family,9
181,I feel motivated and energetic,Often prefers to stay alone,4
182,I feel fine and stable,Often prefers to stay alone,3
183,I feel fine and stable,She seems withdrawn and quiet,4
184,I feel sad without any clear reason,Often prefers to stay alone,1
185,I feel calm and normal,Seems happy and social,6
186,I feel stressed and overwhelmed,Shows signs of irritability,6
187,I feel motivated and energetic,Often prefers to stay alone,7
188,I feel worried about everything,Often prefers to stay alone,3
189,I feel disconnected from people,Actively interacts with family,3
190,I feel anxious most of the day,Actively interacts with family,4
191,I feel emotionally numb,She seems withdrawn and quiet,5
192,I feel worried about everything,No major change noticed,4
193,I feel emotionally numb,Often prefers to stay alone,8
194,I feel motivated and energetic,She seems withdrawn and quiet,1
195,I feel emotionally numb,He avoids family and sleeps a lot,9
196,I feel disconnected from people,Seems happy and social,1
197,I feel tired and hopeless,Behavior appears normal,4
198,I feel worried about everything,Often prefers to stay alone,10
199,I feel worried about everything,Appears emotionally distant,4
200,I feel anxious most of the day,Mood fluctuates frequently,5
201,I feel tired and hopeless,Appears emotionally distant,1
202,I feel stressed and overwhelmed,She seems withdrawn and quiet,1
203,I feel worried about everything,Seems happy and social,4
204,I feel tired and hopeless,Often prefers to stay alone,2
205,I feel fine and stable,No major change noticed,2
206,I feel motivated and energetic,Behavior appears normal,7
207,I feel tired and hopeless,Behavior appears normal,9
208,I feel anxious most of the day,Seems happy and social,4
209,I feel worried about everything,No major change noticed,5
210,I feel sad without any clear reason,Seems happy and social,9
211,I feel worried about everything,Shows signs of irritability,8
212,I feel emotionally numb,Behavior appears normal,10
213,I feel fine and stable,Behavior appears normal,1
214,I feel motivated and energetic,Often prefers to stay alone,9
215,I feel motivated and energetic,No major change noticed,5
216,I feel sad without any clear reason,She seems withdrawn and quiet,7
217,I feel stressed and overwhelmed,He avoids family and sleeps a lot,1
218,I feel anxious most of the day,Often prefers to stay alone,2
219,I feel anxious most of the day,Behavior appears normal,10
220,I feel sad without any clear reason,Often prefers to stay alone,5
221,I feel tired and hopeless,Appears emotionally distant,2
222,I feel anxious most of the day,Seems happy and social,3
223,I feel disconnected from people,Appears emotionally distant,4
224,I feel emotionally numb,Mood fluctuates frequently,2
225,I feel motivated and energetic,No major change noticed,1
226,I feel anxious most of the day,Seems happy and social,10
227,I feel stressed and overwhelmed,No major change noticed,9
228,I feel worried about everything,Seems happy and social,6
229,I feel tired and hopeless,Often prefers to stay alone,2
230,I feel emotionally numb,Shows signs of irritability,7
231,I feel calm and normal,Mood fluctuates frequently,7
232,I feel worried about everything,No major change noticed,5
233,I feel stressed and overwhelmed,Mood fluctuates frequently,9
234,I feel anxious most of the day,Seems happy and social,1
235,I feel disconnected from people,He avoids family and sleeps a lot,10
236,I feel stressed and overwhelmed,Actively interacts with family,6
237,I feel anxious most of the day,No major change noticed,6
238,I feel tired and hopeless,Mood fluctuates frequently,6
239,I feel stressed and overwhelmed,She seems withdrawn and quiet,10
240,I feel emotionally numb,She seems withdrawn and quiet,8
241,I feel emotionally numb,She seems withdrawn and quiet,9
242,I feel worried about everything,Seems happy and social,2
243,I feel fine and stable,Mood fluctuates frequently,6
244,I feel anxious most of the day,She seems withdrawn and quiet,5
245,I feel anxious most of the day,Shows signs of irritability,7
246,I feel stressed and overwhelmed,Mood fluctuates frequently,4
247,I feel calm and normal,She seems withdrawn and quiet,7
248,I feel motivated and energetic,Often prefers to stay alone,5
249,I feel stressed and overwhelmed,Appears emotionally distant,7
250,I feel disconnected from people,He avoids family and sleeps a lot,3
251,I feel stressed and overwhelmed,Shows signs of irritability,2
252,I feel anxious most of the day,Appears emotionally distant,6
253,I feel calm and normal,Seems happy and social,10
254,I feel disconnected from people,He avoids family and sleeps a lot,9
255,I feel fine and stable,Mood fluctuates frequently,8
256,I feel worried about everything,Actively interacts with family,9
257,I feel calm and normal,No major change noticed,1
258,I feel fine and stable,Actively interacts with family,5
259,I feel emotionally numb,Appears emotionally distant,9
260,I feel anxious most of the day,No major change noticed,1
261,I feel anxious most of the day,Appears emotionally distant,8
262,I feel sad without any clear reason,Mood fluctuates frequently,10
263,I feel motivated and energetic,Often prefers to stay alone,8
264,I feel sad without any clear reason,She seems withdrawn and quiet,6
265,I feel worried about everything,Mood fluctuates frequently,4
266,I feel motivated and energetic,He avoids family and sleeps a lot,7
267,I feel disconnected from people,Appears emotionally distant,1
268,I feel emotionally numb,Behavior appears normal,5
269,I feel emotionally numb,She seems withdrawn and quiet,6
270,I feel stressed and overwhelmed,Seems happy and social,9
271,I feel calm and normal,Appears emotionally distant,9
272,I feel worried about everything,Often prefers to stay alone,2
273,I feel motivated and energetic,He avoids family and sleeps a lot,1
274,I feel tired and hopeless,Often prefers to stay alone,4
275,I feel motivated and energetic,Actively interacts with family,8
276,I feel fine and stable,Behavior appears normal,6
277,I feel anxious most of the day,Behavior appears normal,7
278,I feel fine and stable,Actively interacts with family,8
279,I feel worried about everything,Appears emotionally distant,3
280,I feel motivated and energetic,No major change noticed,1
281,I feel worried about everything,She seems withdrawn and quiet,3
282,I feel fine and stable,Behavior appears normal,5
283,I feel disconnected from people,Behavior appears normal,6
284,I feel emotionally numb,Appears emotionally distant,6
285,I feel disconnected from people,Seems happy and social,5
286,I feel stressed and overwhelmed,Seems happy and social,4
287,I feel calm and normal,Actively interacts with family,1
288,I feel fine and stable,Actively interacts with family,4
289,I feel calm and normal,Behavior appears normal,8
290,I feel stressed and overwhelmed,Behavior appears normal,1
291,I feel stressed and overwhelmed,Shows signs of irritability,1
292,I feel motivated and energetic,Seems happy and social,1
293,I feel calm and normal,She seems withdrawn and quiet,5
294,I feel emotionally numb,Appears emotionally distant,5
295,I feel motivated and energetic,Behavior appears normal,1
296,I feel motivated and energetic,Mood fluctuates frequently,2
297,I feel fine and stable,Seems happy and social,4
298,I feel disconnected from people,Appears emotionally distant,10
299,I feel disconnected from people,No major change noticed,10
300,I feel motivated and energetic,Seems happy and social,3
301,I feel emotionally numb,No major change noticed,7
302,I feel disconnected from people,Shows signs of irritability,5
303,I feel sad without any clear reason,Actively interacts with family,10
304,I feel motivated and energetic,Seems happy and social,8
305,I feel anxious most of the day,Shows signs of irritability,2
306,I feel anxious most of the day,No major change noticed,5
307,I feel fine and stable,Actively interacts with family,4
308,I feel stressed and overwhelmed,He avoids family and sleeps a lot,1
309,I feel calm and normal,She seems withdrawn and quiet,2
310,I feel anxious most of the day,He avoids family and sleeps a lot,4
311,I feel sad without any clear reason,Seems happy and social,2
312,I feel fine and stable,Appears emotionally distant,4
313,I feel motivated and energetic,Behavior appears normal,8
314,I feel calm and normal,Often prefers to stay alone,2
315,I feel stressed and overwhelmed,Shows signs of irritability,5
316,I feel calm and normal,Shows signs of irritability,9
317,I feel calm and normal,Behavior appears normal,6
318,I feel worried about everything,She seems withdrawn and quiet,10
319,I feel calm and normal,Shows signs of irritability,3
320,I feel sad without any clear reason,Actively interacts with family,2
321,I feel sad without any clear reason,Seems happy and social,1
322,I feel fine and stable,Often prefers to stay alone,7
323,I feel worried about everything,Often prefers to stay alone,4
324,I feel anxious most of the day,Behavior appears normal,2
325,I feel emotionally numb,Seems happy and social,8
326,I feel worried about everything,Actively interacts with family,7
327,I feel worried about everything,Behavior appears normal,1
328,I feel sad without any clear reason,Behavior appears normal,8
329,I feel emotionally numb,Actively interacts with family,4
330,I feel stressed and overwhelmed,She seems withdrawn and quiet,2
331,I feel disconnected from people,No major change noticed,1
332,I feel worried about everything,Actively interacts with family,2
333,I feel tired and hopeless,He avoids family and sleeps a lot,7
334,I feel sad without any clear reason,She seems withdrawn and quiet,4
335,I feel worried about everything,Often prefers to stay alone,1
336,I feel tired and hopeless,Mood fluctuates frequently,10
337,I feel motivated and energetic,Appears emotionally distant,4
338,I feel anxious most of the day,Mood fluctuates frequently,2
339,I feel sad without any clear reason,Appears emotionally distant,1
340,I feel sad without any clear reason,Seems happy and social,10
341,I feel calm and normal,No major change noticed,5
342,I feel sad without any clear reason,Shows signs of irritability,7
343,I feel calm and normal,Seems happy and social,3
344,I feel fine and stable,No major change noticed,5
345,I feel stressed and overwhelmed,He avoids family and sleeps a lot,2
346,I feel sad without any clear reason,Seems happy and social,6
347,I feel fine and stable,Seems happy and social,9
348,I feel motivated and energetic,Shows signs of irritability,1
349,I feel fine and stable,Appears emotionally distant,9
350,I feel sad without any clear reason,Appears emotionally distant,5
351,I feel calm and normal,Appears emotionally distant,2
352,I feel motivated and energetic,She seems withdrawn and quiet,9
353,I feel sad without any clear reason,No major change noticed,6
354,I feel calm and normal,Often prefers to stay alone,4
355,I feel fine and stable,He avoids family and sleeps a lot,1
356,I feel anxious most of the day,Often prefers to stay alone,3
357,I feel motivated and energetic,He avoids family and sleeps a lot,5
358,I feel tired and hopeless,She seems withdrawn and quiet,10
359,I feel sad without any clear reason,Often prefers to stay alone,9
360,I feel worried about everything,Often prefers to stay alone,7
361,I feel fine and stable,Actively interacts with family,5
362,I feel worried about everything,She seems withdrawn and quiet,5
363,I feel tired and hopeless,She seems withdrawn and quiet,10
364,I feel motivated and energetic,Shows signs of irritability,1
365,I feel emotionally numb,Behavior appears normal,1
366,I feel stressed and overwhelmed,Shows signs of irritability,9
367,I feel tired and hopeless,Mood fluctuates frequently,7
368,I feel worried about everything,He avoids family and sleeps a lot,3
369,I feel tired and hopeless,Actively interacts with family,6
370,I feel fine and stable,Often prefers to stay alone,4
371,I feel motivated and energetic,Behavior appears normal,1
372,I feel stressed and overwhelmed,Often prefers to stay alone,5
373,I feel tired and hopeless,Shows signs of irritability,1
374,I feel disconnected from people,Shows signs of irritability,3
375,I feel anxious most of the day,She seems withdrawn and quiet,6
376,I feel sad without any clear reason,No major change noticed,2
377,I feel sad without any clear reason,He avoids family and sleeps a lot,3
378,I feel motivated and energetic,Behavior appears normal,5
379,I feel tired and hopeless,Seems happy and social,7
380,I feel calm and normal,Appears emotionally distant,1
381,I feel fine and stable,Actively interacts with family,4
382,I feel disconnected from people,Often prefers to stay alone,2
383,I feel calm and normal,Behavior appears normal,3
384,I feel disconnected from people,Behavior appears normal,3
385,I feel emotionally numb,Mood fluctuates frequently,4
386,I feel worried about everything,Actively interacts with family,9
387,I feel emotionally numb,Often prefers to stay alone,5
388,I feel motivated and energetic,No major change noticed,7
389,I feel sad without any clear reason,She seems withdrawn and quiet,4
390,I feel calm and normal,Behavior appears normal,5
391,I feel calm and normal,He avoids family and sleeps a lot,2
392,I feel disconnected from people,Appears emotionally distant,10
393,I feel fine and stable,Actively interacts with family,10
394,I feel motivated and energetic,Often prefers to stay alone,3
395,I feel stressed and overwhelmed,Mood fluctuates frequently,4
396,I feel tired and hopeless,He avoids family and sleeps a lot,7
397,I feel calm and normal,Behavior appears normal,6
398,I feel motivated and energetic,Actively interacts with family,4
399,I feel anxious most of the day,She seems withdrawn and quiet,5
400,I feel calm and normal,Appears emotionally distant,8
401,I feel tired and hopeless,Appears emotionally distant,10
402,I feel emotionally numb,He avoids family and sleeps a lot,1
403,I feel disconnected from people,Often prefers to stay alone,3
404,I feel anxious most of the day,Actively interacts with family,10
405,I feel tired and hopeless,Actively interacts with family,5
406,I feel emotionally numb,Often prefers to stay alone,5
407,I feel stressed and overwhelmed,Shows signs of irritability,4
408,I feel anxious most of the day,No major change noticed,6
409,I feel sad without any clear reason,Mood fluctuates frequently,7
410,I feel tired and hopeless,Seems happy and social,1
411,I feel disconnected from people,No major change noticed,7
412,I feel calm and normal,No major change noticed,9
413,I feel motivated and energetic,Shows signs of irritability,1
414,I feel motivated and energetic,Appears emotionally distant,4
415,I feel stressed and overwhelmed,Seems happy and social,6
416,I feel tired and hopeless,Seems happy and social,6
417,I feel worried about everything,No major change noticed,3
418,I feel anxious most of the day,Appears emotionally distant,9
419,I feel tired and hopeless,No major change noticed,5
420,I feel tired and hopeless,Mood fluctuates frequently,9
421,I feel disconnected from people,He avoids family and sleeps a lot,5
422,I feel sad without any clear reason,She seems withdrawn and quiet,5
423,I feel disconnected from people,Often prefers to stay alone,7
424,I feel worried about everything,Often prefers to stay alone,7
425,I feel anxious most of the day,No major change noticed,4
426,I feel anxious most of the day,She seems withdrawn and quiet,1
427,I feel tired and hopeless,Seems happy and social,6
428,I feel tired and hopeless,Mood fluctuates frequently,2
429,I feel calm and normal,He avoids family and sleeps a lot,3
430,I feel disconnected from people,She seems withdrawn and quiet,10
431,I feel motivated and energetic,He avoids family and sleeps a lot,1
432,I feel disconnected from people,Actively interacts with family,9
433,I feel fine and stable,Behavior appears normal,5
434,I feel sad without any clear reason,She seems withdrawn and quiet,1
435,I feel motivated and energetic,Mood fluctuates frequently,2
436,I feel tired and hopeless,No major change noticed,3
437,I feel motivated and energetic,Actively interacts with family,5
438,I feel tired and hopeless,Often prefers to stay alone,10
439,I feel worried about everything,Appears emotionally distant,6
440,I feel fine and stable,Behavior appears normal,4
441,I feel emotionally numb,Shows signs of irritability,8
442,I feel tired and hopeless,Appears emotionally distant,3
443,I feel fine and stable,He avoids family and sleeps a lot,4
444,I feel disconnected from people,Seems happy and social,2
445,I feel stressed and overwhelmed,Seems happy and social,7
446,I feel disconnected from people,No major change noticed,2
447,I feel fine and stable,She seems withdrawn and quiet,6
448,I feel calm and normal,Appears emotionally distant,8
449,I feel motivated and energetic,Mood fluctuates frequently,5
450,I feel fine and stable,She seems withdrawn and quiet,2
451,I feel fine and stable,No major change noticed,7
452,I feel disconnected from people,Behavior appears normal,9
453,I feel calm and normal,Shows signs of irritability,4
454,I feel disconnected from people,Seems happy and social,5
455,I feel worried about everything,No major change noticed,3
456,I feel anxious most of the day,No major change noticed,4
457,I feel sad without any clear reason,Mood fluctuates frequently,10
458,I feel anxious most of the day,Appears emotionally distant,9
459,I feel worried about everything,Shows signs of irritability,9
460,I feel calm and normal,Shows signs of irritability,4
461,I feel motivated and energetic,Mood fluctuates frequently,8
462,I feel motivated and energetic,Appears emotionally distant,5
463,I feel motivated and energetic,Seems happy and social,3
464,I feel sad without any clear reason,Actively interacts with family,7
465,I feel calm and normal,Seems happy and social,3
466,I feel motivated and energetic,No major change noticed,4
467,I feel calm and normal,He avoids family and sleeps a lot,2
468,I feel fine and stable,Actively interacts with family,3
469,I feel anxious most of the day,Behavior appears normal,5
470,I feel worried about everything,Behavior appears normal,2
471,I feel calm and normal,Shows signs of irritability,1
472,I feel anxious most of the day,Often prefers to stay alone,10
473,I feel tired and hopeless,Actively interacts with family,10
474,I feel tired and hopeless,She seems withdrawn and quiet,7
475,I feel motivated and energetic,Mood fluctuates frequently,6
476,I feel sad without any clear reason,He avoids family and sleeps a lot,4
477,I feel anxious most of the day,Behavior appears normal,9
478,I feel fine and stable,Mood fluctuates frequently,1
479,I feel calm and normal,Shows signs of irritability,7
480,I feel disconnected from people,He avoids family and sleeps a lot,10
481,I feel disconnected from people,Actively interacts with family,10
482,I feel sad without any clear reason,Actively interacts with family,6
483,I feel fine and stable,Behavior appears normal,3
484,I feel calm and normal,Mood fluctuates frequently,7
485,I feel fine and stable,Actively interacts with family,4
486,I feel emotionally numb,Actively interacts with family,5
487,I feel disconnected from people,She seems withdrawn and quiet,9
488,I feel stressed and overwhelmed,Seems happy and social,8
489,I feel calm and normal,Seems happy and social,10
490,I feel anxious most of the day,Seems happy and social,3
491,I feel calm and normal,Often prefers to stay alone,2
492,I feel disconnected from people,He avoids family and sleeps a lot,2
493,I feel tired and hopeless,Mood fluctuates frequently,10
494,I feel fine and stable,Often prefers to stay alone,7
495,I feel fine and stable,Appears emotionally distant,10
496,I feel worried about everything,Seems happy and social,2
497,I feel anxious most of the day,She seems withdrawn and quiet,2
498,I feel worried about everything,Often prefers to stay alone,10
499,I feel calm and normal,Actively interacts with family,5
500,I feel stressed and overwhelmed,Mood fluctuates frequently,4
501,I feel sad without any clear reason,Behavior appears normal,5
502,I feel motivated and energetic,Mood fluctuates frequently,6
503,I feel worried about everything,He avoids family and sleeps a lot,9
504,I feel stressed and overwhelmed,Appears emotionally distant,10
505,I feel sad without any clear reason,Appears emotionally distant,6
506,I feel worried about everything,Behavior appears normal,10
507,I feel motivated and energetic,Often prefers to stay alone,6
508,I feel motivated and energetic,Seems happy and social,9
509,I feel disconnected from people,Actively interacts with family,6
510,I feel sad without any clear reason,She seems withdrawn and quiet,4
511,I feel fine and stable,Seems happy and social,3
512,I feel emotionally numb,Seems happy and social,2
513,I feel emotionally numb,Appears emotionally distant,6
514,I feel worried about everything,Actively interacts with family,2
515,I feel tired and hopeless,Shows signs of irritability,5
516,I feel tired and hopeless,He avoids family and sleeps a lot,2
517,I feel motivated and energetic,Behavior appears normal,3
518,I feel calm and normal,Seems happy and social,8
519,I feel fine and stable,Behavior appears normal,6
520,I feel calm and normal,Shows signs of irritability,8
521,I feel stressed and overwhelmed,Appears emotionally distant,8
522,I feel anxious most of the day,Actively interacts with family,4
523,I feel sad without any clear reason,He avoids family and sleeps a lot,5
524,I feel sad without any clear reason,Seems happy and social,9
525,I feel anxious most of the day,Actively interacts with family,2
526,I feel fine and stable,Mood fluctuates frequently,9
527,I feel worried about everything,Actively interacts with family,2
528,I feel stressed and overwhelmed,She seems withdrawn and quiet,10
529,I feel disconnected from people,Seems happy and social,4
530,I feel emotionally numb,No major change noticed,2
531,I feel motivated and energetic,He avoids family and sleeps a lot,2
532,I feel calm and normal,Shows signs of irritability,5
533,I feel stressed and overwhelmed,Behavior appears normal,2
534,I feel fine and stable,Seems happy and social,5
535,I feel emotionally numb,No major change noticed,6
536,I feel fine and stable,Shows signs of irritability,5
537,I feel worried about everything,Often prefers to stay alone,2
538,I feel calm and normal,Often prefers to stay alone,1
539,I feel sad without any clear reason,Actively interacts with family,8
540,I feel emotionally numb,Seems happy and social,9
541,I feel disconnected from people,Appears emotionally distant,6
542,I feel disconnected from people,Often prefers to stay alone,4
543,I feel anxious most of the day,Mood fluctuates frequently,1
544,I feel emotionally numb,He avoids family and sleeps a lot,8
545,I feel calm and normal,Appears emotionally distant,10
546,I feel calm and normal,Often prefers to stay alone,10
547,I feel emotionally numb,She seems withdrawn and quiet,8
548,I feel fine and stable,Mood fluctuates frequently,1
549,I feel calm and normal,No major change noticed,7
550,I feel stressed and overwhelmed,Often prefers to stay alone,1
551,I feel tired and hopeless,Often prefers to stay alone,8
552,I feel sad without any clear reason,He avoids family and sleeps a lot,7
553,I feel sad without any clear reason,Behavior appears normal,4
554,I feel disconnected from people,Actively interacts with family,4
555,I feel tired and hopeless,Appears emotionally distant,7
556,I feel calm and normal,Behavior appears normal,1
557,I feel motivated and energetic,No major change noticed,5
558,I feel calm and normal,She seems withdrawn and quiet,2
559,I feel disconnected from people,Appears emotionally distant,1
560,I feel stressed and overwhelmed,Actively interacts with family,7
561,I feel anxious most of the day,Mood fluctuates frequently,7
562,I feel stressed and overwhelmed,No major change noticed,2
563,I feel calm and normal,Behavior appears normal,6
564,I feel sad without any clear reason,No major change noticed,5
565,I feel worried about everything,Actively interacts with family,10
